"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.unionknoxville.com/","1","Union Knoxville provides apartments for rent in the Knoxville, TN area. Discover floor plan options, photos, amenities, and our great location.","143","860","",""
"https://www.unionknoxville.com/cdn-cgi/l/email-protection","0","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/amenities/","1","Consider the 9 community and 8 apartments amenities at Union Knoxville. Explore the luxury features at our Knoxville apartments near campus.","140","886","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/map-and-directions/","1","Union Knoxville is located in Knoxville, TN. Explore the area on our interactive map to get to know the area near The University of Tennessee, Knoxville.","153","918","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/faqs/","1","Find out answers to frequently asked questions about Union Knoxville.","69","434","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/photos/","1","Envision living at Union Knoxville. Browse 32 photos of our apartment community in Knoxville, TN, near UTK. Apply online today!","127","786","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/guest-card/contact-us/1/","1","Have questions? Send a message to Union Knoxville Apartments so our team can answer them. We look forward to hearing from you!","126","821","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/student/","1","Union Knoxville Apartment rentals offers a range of spacious floor plans including studio, 1, 2, 3, 4, & 5 bedroom apartments near campus.","138","850","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/action/search_password/","1","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e1-987661/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","E1 is a 5 bedroom apartment layout option at Union Knoxville.This 1,488.00 sqft floor plan starts at $1,575.00 per month.","121","748","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b3-987651/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","B3 is a 2 bedroom apartment layout option at Union Knoxville.This 985.00 sqft floor plan starts at $1,600.00 per month.","119","738","",""
